final_rank,gene_symbol,normalized_rank,normalized.trait.kdg.rank,Asteriks,Previous experimental validation in IBD,KO mouse available,Annotation,Other,,,,
29,JAK3,0.323943662,0.338345865,black,,,,,,,,
30,LCP1,0.563380282,0.060150376,black,,,"PMID: 17072956, PMID: 19321664  ","CP64, HEL-S-37, L-PLASTIN, LC64P, LPL, PLS2",,,,
31,CD300A,0.084507042,0.601503759,,,,PMID: 21744426 ,,,,,
32,SEMA4D,0.434948675,0.255639098,black,,,PMID: 23695512 ,"C9orf164, CD100, M-sema-G, SEMAJ, coll-4",,,,
33,APOL3,0.633802817,0.007518797,//,,,,,,,,
34,CXCL11,0.070422535,0.631578947,black,,,PMID: 21438871 ,CXCL11,,,,
35,FCGR3A,0.23943662,0.458646617,black,,,PMID:20456413,"CD16, CD16A, FCG3, FCGR3, FCGRIII, FCR-10, FCRIII, FCRIIIA, IGFR3, IMD20",,,,
36,ARHGAP30,0.577464789,0.07518797,//,,,,,,,,
37,IL15RA,0.197183099,0.503759398,//,,,,,,,,
38,ITGB2,0.507042254,0.172932331,black,,,,,,,,
39,MNDA,0.492957746,0.180451128,black,,,,PYHIN3,,,,
40,RAC2,0.169014085,0.533834586,black,,,,,,,,
41,SPI1,0.438410122,0.270676692,black,,,,,,,,
42,APOL2,0.14084507,0.563909774,//,,,,,,,,
43,CSF3R,0.101694915,0.62406015,black,"PMID: 26687628, PMID: 21557945 ",PMID: 24503766 ,,,,,,
44,FCGR3B,0.478873239,0.218045113,black,PMID: 20456413,"CD16, CD16b, FCG3, FCGR3, FCR-10, FCRIII, FCRIIIb",,,,,,
45,NCF2,0.394604918,0.353383459,black,,,,,,,,
46,GBP1,0.295774648,0.473684211,black,PMID: 19079332,,,,,,,
47,LILRB2,0.483886369,0.233082707,//,,"CD85D, ILT-4, ILT4, LIR-2, LIR2, MIR-10, MIR10",,,,,,
48,CD52,0.537359752,0.187969925,black,PMID:25087772,,,,,,,
49,CYTIP,0.126760563,0.654135338,//,,,,,,,,
50,IFI30,0.450704225,0.330827068,//,,"GILT, IFI-30, IP-30, IP30",,,,,,
51,CTLA4,0.394366197,0.436090226,black,PMID:19538054,,,,,,,
52,HAVCR2,0.084745763,0.721804511,black,PMID: 26208474,"CD366, HAVcr-2, KIM-3, TIM3, TIMD-3, TIMD3, Tim-3",,,,,,
53,ITGAX,0.647887324,0.097744361,black,PMID: 27027442,"CD11C, SLEB6",,,,,,
54,CD27,0.254237288,0.593984962,black,PMID: 19525396,"S152, S152. LPFS2, T14, TNFRSF7, Tp55",,,,,,
55,CD3D,0.521842922,0.30075188,//,,"CD3-DELTA, IMD19, T3D",,,,,,
56,VNN2,0.323943662,0.556390977,//,PMID:17453718,"FOAP-4, GPI-80",,,,,,
57,BASP1,0.556338028,0.293233083,//,,"CAP-23, CAP23, NAP-22, NAP22",,,,,,
58,SMAP2,0.389830508,0.54887218,//,,SMAP1L,,,,,,
59,APOL1,0.599904512,0.285714286,//,,"APO-L, APOL, APOL-I, FSGS4",,,,,,
60,CD8A,0.338983051,0.609022556,//,,"CD8, Leu2, MAL",,,,,,
61,MYO1F,0.436619718,0.511278195,//,,,,,,,,
62,AQP9,0.521126761,0.406015038,//,PMID: 20444268,,,,,,,
63,CLEC7A,0.355932203,0.616541353,black,PMID:26269954,,,,,,,
64,GAB3,0.288135593,0.706766917,//,,,,,,,,
65,RASGRP4,0.440677966,0.541353383,black,PMID: 22511759,,,,,,,
66,S100A9,0.565767486,0.37593985,black,,,,,,,,
67,SELL,0.732394366,0.248120301,black,,,,,,,,
68,LILRB4,0.281690141,0.781954887,black,PMID:20398663,,,"CD85K, ILT-3, ILT3, LIR-5, LIR5",,,,
69,ADAM19,0.605633803,0.398496241,//,,PMID: 23429442,,,,,,
70,FYB,0.563380282,0.466165414,//,,,,,,,,
71,HCLS1,0.542372881,0.488721805,//,,,,,,,,
72,PPP1R18,0.507042254,0.526315789,//,,"HKMT1098, KIAA1949",,,,,,
73,FCGR2A,0.406779661,0.691729323,//,,,,,,,,
74,CHST11,0.865958463,0.195488722,//,,,,,,,,
75,CXCL6,0.450704225,0.639097744,//,PMID: 15214047,,,,,,,
76,HAPLN3,0.732394366,0.323308271,//,,,,"EXLD1, ",,,,
77,TAGAP,0.183098592,0.917293233,black,PMID:24582067,,,"ARHGAP47, FKSG15, IDDM211, TAGAP",,,,
78,RASSF5,0.295774648,0.834586466,//,,,,"Maxp1, NORE1, NORE1A, NORE1B, RAPL, RASSF3",,,,
79,SNX10,0.830985915,0.263157895,black,PMID:26856241,,,OPTB8,,,,
80,FPR1,0.943661972,0.157894737,,,,,,,,,
81,CSF2RB,0.809859155,0.308270677,black,PNID:27377463,,,,,,,
82,LCP2,0.768799236,0.345864662,//,,,,SLP76,,,,
83,FAM49A,0.478873239,0.676691729,//,,,,,,,,
84,PTAFR,0.366197183,0.827067669,black,PMID: 25755731,,,PAFR,,,,
85,UBE2L6,0.871807114,0.278195489,//,PMID: 22710419,,,,,,,
86,C3AR1,0.745762712,0.413533835,//,,,,"AZ3B, C3AR, HNFAG09 ",,,,
87,RASSF2,0.823943662,0.368421053,//,,,,"CENP-34, RASFADIN",,,,
88,STAT5A,0.338028169,0.909774436,//,PMID: 26278503,,,,,,,
89,PLEK,0.669014085,0.518796992,//,PMID: 26686060,,,,,,,
90,FCGR2C,0.521126761,0.69924812,//,,,,"CD32, CD32C, CDW32, FCG2, FCRIIC, IGFR2",,,,
91,ARRB2,0.644067797,0.571428571,black,PMID: 25354317 ,,,"ARB2, ARR2, BARR2",,,,
92,HCK,0.762711864,0.481203008,black,,,,,,,,
93,STX11,0.866197183,0.383458647,//,,,,"FHL4, HLH4, HPLH4",,,,
94,BCL2A1,0.690140845,0.578947368,//,,,,"ACC-1, ACC-2, ACC1, ACC2, BCL2L5, BFL1, GRS, HBPA1",,,,
95,PTPRC,0.901408451,0.360902256,black,PMID:27007678,,,"B220, CD45, CD45R, GP180, L-CA, LCA, LY5, T200",,,,
96,SNX20,0.478873239,0.872180451,black,PMID: 27693347 ,,,SLIC1,,,,
97,INPP5D,0.576271186,0.751879699,black,"PMID: 26481854, PMID:24781051",,,,,,,
98,PROK2,0.422535211,0.977443609,black,PMID:22050240,,,,,,,
99,FCGR1A,0.661971831,0.684210526,black,PMID:24788216,,,,,,,
100,IL18R1,0.610169492,0.744360902,black,PMID: 26638073,,,,,,,
101,EMILIN2,0.704225352,0.669172932,//,PMID: 26638073 ,,,"EMILIN-2, FOAP-10",,,,
102,LAIR1,0.627118644,0.766917293,black,,,,,,,,
103,RHBDF2,0.577464789,0.842105263,//,,,,"RHBDL5, RHBDL6, TEC, TOC, TOCG, iRhom2",,,,
104,MS4A6A,0.661016949,0.804511278,//,,,,"4SPAN3, 4SPAN3.2, CD20L3, CDA01, MS4A6, MST090, MSTP090",,,,
105,BIN2,0.887323944,0.586466165,//,,,,BRAP-1,,,,
106,IFITM3,0.746478873,0.729323308,black,PMID: 26271895,,,,,,,
107,LYN,0.676056338,0.796992481,black,"PMID: 24045577, PMID: 25339668",,,,,,,
108,ST3GAL5,0.591549296,0.887218045,//,,,,"SATI, SIAT9, SIATGM3S, SPDRS, ST3GalV",,,,
109,TAP1,0.563380282,0.92481203,//,,,,"ABC17, ABCB2, APT1, D6S114E, PSF-1, PSF1, RING4*0102N, TAP1N, TAP1",,,,
110,CYBB,0.873239437,0.646616541,black,PMID: 26194095 ,,,,,,,
111,MYO1G,0.711864407,0.812030075,//,,,,"HA2, HLA-HA2, MHAG",,,,
112,LAPTM5,0.788732394,0.77443609,,,,,,,,,
113,LY96,0.774647887,0.789473684,//,,,,MD2,,,,
114,DRAM1,0.915492958,0.661654135,//,"PMID: 25633293, PMID: 25484076  ",,,,,,,
115,TNFAIP8L2,0.633802817,0.947368421,black,PMID:24973456,,,TIPE2,,,,
116,GBP2,0.898305085,0.714285714,//,,,,,,,,
117,SLA2,0.779661017,0.864661654,//,,,,"C20orf156, MARS, SLAP-2, SLAP2",,,,
118,S100A8,0.816901408,0.84962406,black,,,,"60B8AG, CAGA, CFAG, CGLA, CP-10, L1Ag, MA387, MIF, MRP8, NIF, P8",,,,
119,EMR2,0.718309859,0.954887218,//,,,,"CD312, EMR2, VBU",,,,
120,IL10RA,0.949152542,0.736842105,black,,,,,,,,
121,SAMSN1,0.85915493,0.857142857,//,,,,"HACS1, NASH1, SASH2, SH3D6B, SLy2",,,,
122,STAT4,0.796610169,0.902255639,black,PMID:18802110,,,,,,,
123,STAT1,0.830985915,0.894736842,black,"PMID: 27220814, PMID: 12171960 ",,,"CANDF7, IMD31A, IMD31B, IMD31C, ISGF-3, STAT91",,,,
124,KYNU,0.985915493,0.759398496,//,,,,,,,,
125,ST3GAL1,0.881355932,0.879699248,//,,,,"SIAT4A, SIATFL, ST3GalA, ST3GalA.1, ST3GalIA, ST3GalIA,1, ST3O",,,,
126,PLXNC1,0.971830986,0.819548872,//,,,"
PMID: 15746246, PMID: 24890788","CD232, PLXN-C1, VESPR",,,,
127,TLR2,0.915254237,0.932330827,black,PMID:23994200,,,,,,,
128,RAB31,0.88028169,0.984962406,//,,,,,,,,
129,TNFAIP2,0.943661972,0.939849624,//,,,,"B94, EXOC3L3",,,,
130,LPCAT1,0.887323944,1,//,,,,"AGPAT10, AGPAT9, AYTL2, LPCAT-1",,,,
131,IFIT3,0.929577465,0.992481203,black,,,,,,,,
132,GPR65,0.971830986,0.969924812,//,,,,,,,,
133,GNB4,1,0.962406015,//,,,,CMTD1F,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
